model,instruction,prior_level,n,ungrounded,ungrounded_rate,lo,hi,reports_parametric_answer_rate,verbatim_abstention_rate
gpt-4o-mini,SOURCE_EXCLUSIVE,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,0.50-0.75,26,0,0.0000,0.0000,0.1287,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,0.75-1.00,33,0,0.0000,0.0000,0.1043,0.0000,1.0000
gpt-4o-mini,FLAG_INVITING,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,0.0000
gpt-4o-mini,FLAG_INVITING,0.25-0.50,18,1,0.0556,0.0099,0.2576,0.0556,0.0000
gpt-4o-mini,FLAG_INVITING,0.50-0.75,26,9,0.3462,0.1941,0.5378,0.3077,0.0000
gpt-4o-mini,FLAG_INVITING,0.75-1.00,33,22,0.6667,0.4961,0.8025,0.6667,0.0000
gpt-4o-mini,WEAK_GROUNDING,0.00-0.25,15,6,0.4000,0.1982,0.6425,0.0000,0.0000
gpt-4o-mini,WEAK_GROUNDING,0.25-0.50,18,15,0.8333,0.6078,0.9416,0.0000,0.0000
gpt-4o-mini,WEAK_GROUNDING,0.50-0.75,26,19,0.7308,0.5392,0.8630,0.5385,0.0000
gpt-4o-mini,WEAK_GROUNDING,0.75-1.00,33,33,1.0000,0.8957,1.0000,1.0000,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE_FLAG_INVITING,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE_FLAG_INVITING,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE_FLAG_INVITING,0.50-0.75,26,0,0.0000,0.0000,0.1287,0.0000,1.0000
gpt-4o-mini,SOURCE_EXCLUSIVE_FLAG_INVITING,0.75-1.00,33,0,0.0000,0.0000,0.1043,0.0000,1.0000
gpt-4o-mini,SELECTIVE_AUDIT,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
gpt-4o-mini,SELECTIVE_AUDIT,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
gpt-4o-mini,SELECTIVE_AUDIT,0.50-0.75,21,0,0.0000,0.0000,0.1546,0.0000,1.0000
gpt-4o-mini,SELECTIVE_AUDIT,0.75-1.00,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,0.00-0.25,15,0,0.0000,0.0000,0.2039,0.0000,1.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,0.25-0.50,18,0,0.0000,0.0000,0.1759,0.0000,1.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,0.50-0.75,26,0,0.0000,0.0000,0.1287,0.0000,1.0000
