model,instruction,severity,n,questioned,questioned_rate,lo,hi,endorsed,endorsed_rate,e_lo,e_hi,reports_target_rate,lexical_caveat_rate
gpt-4o-mini,SOURCE_EXCLUSIVE,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7708,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8333,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8333,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8125,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,4,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7083,0.0000
gpt-4o-mini,SOURCE_EXCLUSIVE,5,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6250,0.0000
gpt-4o-mini,FLAG_INVITING,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6458,0.0000
gpt-4o-mini,FLAG_INVITING,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6667,0.0000
gpt-4o-mini,FLAG_INVITING,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6667,0.0000
gpt-4o-mini,FLAG_INVITING,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7917,0.0000
gpt-4o-mini,FLAG_INVITING,4,48,12,0.2500,0.1492,0.3878,0,0.0000,0.0000,0.0741,0.8333,0.2500
gpt-4o-mini,FLAG_INVITING,5,48,25,0.5208,0.3833,0.6553,0,0.0000,0.0000,0.0741,0.5625,0.5208
gpt-4o-mini,WEAK_GROUNDING,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6458,0.0000
gpt-4o-mini,WEAK_GROUNDING,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6667,0.0000
gpt-4o-mini,WEAK_GROUNDING,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6667,0.0000
gpt-4o-mini,WEAK_GROUNDING,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8333,0.0000
gpt-4o-mini,WEAK_GROUNDING,4,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7708,0.0000
gpt-4o-mini,WEAK_GROUNDING,5,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.5417,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8542,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.9167,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8958,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.9583,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,4,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8958,0.0000
gpt-5.4-nano,SOURCE_EXCLUSIVE,5,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7500,0.0000
gpt-5.4-nano,FLAG_INVITING,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7083,0.0000
gpt-5.4-nano,FLAG_INVITING,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6875,0.0000
gpt-5.4-nano,FLAG_INVITING,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7917,0.0000
gpt-5.4-nano,FLAG_INVITING,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8958,0.0000
gpt-5.4-nano,FLAG_INVITING,4,48,3,0.0625,0.0215,0.1684,0,0.0000,0.0000,0.0741,0.9167,0.0625
gpt-5.4-nano,FLAG_INVITING,5,48,36,0.7500,0.6122,0.8508,0,0.0000,0.0000,0.0741,0.8750,0.7292
gpt-5.4-nano,WEAK_GROUNDING,0,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6250,0.0000
gpt-5.4-nano,WEAK_GROUNDING,1,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6042,0.0000
gpt-5.4-nano,WEAK_GROUNDING,2,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7500,0.0000
gpt-5.4-nano,WEAK_GROUNDING,3,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.8542,0.0000
gpt-5.4-nano,WEAK_GROUNDING,4,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.7708,0.0000
gpt-5.4-nano,WEAK_GROUNDING,5,48,0,0.0000,0.0000,0.0741,0,0.0000,0.0000,0.0741,0.6875,0.0000
